medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Silver Medal,LEITAO Iuri,Male,POR,Portugal,POR,Portugal,Men's Omnium,1998-07-03
Bronze Medal,van den BOSSCHE Fabio,Male,BEL,Belgium,BEL,Belgium,Men's Omnium,2000-09-21
Gold Medal,ANDREWS Ellesse,Female,NZL,New Zealand,NZL,New Zealand,Women's Keirin,1999-12-31
Silver Medal,van de WOUW Hetty,Female,NED,Netherlands,NED,Netherlands,Women's Keirin,1998-05-29
Bronze Medal,FINUCANE Emma,Female,GBR,Great Britain,GBR,Great Britain,Women's Keirin,2002-12-22
Gold Medal,XIE Siyi,Male,CHN,China,CHN,China,Men's 3m Springboard,1996-03-28
Silver Medal,WANG Zongyuan,Male,CHN,China,CHN,China,Men's 3m Springboard,2001-10-24
Bronze Medal,OLVERA IBARRA Osmar,Male,MEX,Mexico,MEX,Mexico,Men's 3m Springboard,2004-06-05
Gold Medal,van ROUWENDAAL Sharon,Female,NED,Netherlands,NED,Netherlands,Women's 10km,1993-09-09
Silver Medal,JOHNSON Moesha,Female,AUS,Australia,AUS,Australia,Women's 10km,1997-09-19
Bronze Medal,TADDEUCCI Ginevra,Female,ITA,Italy,ITA,Italy,Women's 10km,1997-05-03
Gold Medal,ALDRIDGE Eleanor,Female,GBR,Great Britain,GBR,Great Britain,Women's Kite,1996-12-29
Silver Medal,NOLOT Lauriane,Female,FRA,France,FRA,France,Women's Kite,1998-12-09
Bronze Medal,LAMMERTS Annelous,Female,NED,Netherlands,NED,Netherlands,Women's Kite,1993-11-01
Gold Medal,LEONARDO Veddriq,Male,INA,Indonesia,INA,Indonesia,Men's Speed,1997-03-11
Silver Medal,WU Peng,Male,CHN,China,CHN,China,Men's Speed,2002-10-15
Bronze Medal,WATSON Sam,Male,USA,United States,USA,United States,Men's Speed,2006-02-27
Gold Medal,RASHITOV Ulugbek,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men -68kg,2002-03-23
Silver Medal,KAREEM Zaid,Male,JOR,Jordan,JOR,Jordan,Men -68kg,2001-06-19
Bronze Medal,LIANG Yushuai,Male,CHN,China,CHN,China,Men -68kg,2000-09-10
Bronze Medal,PONTES Edival,Male,BRA,Brazil,BRA,Brazil,Men -68kg,1997-10-11
Gold Medal,KIM Yujin,Female,KOR,Korea,KOR,Korea,Women -57kg,2000-10-17
Silver Medal,KIYANICHANDEH Nahid,Female,IRI,IR Iran,IRI,IR Iran,Women -57kg,1998-08-01
Bronze Medal,PARK Skylar,Female,CAN,Canada,CAN,Canada,Women -57kg,1999-06-06
Bronze Medal,KIMIA Alizadeh,Female,BUL,Bulgaria,BUL,Bulgaria,Women -57kg,1998-07-10
Gold Medal,JUNIANSYAH Rizki,Male,INA,Indonesia,INA,Indonesia,Men's 73kg,2003-06-17
Silver Medal,WICHUMA Weeraphon,Male,THA,Thailand,THA,Thailand,Men's 73kg,2004-08-10
Bronze Medal,ANDREEV Bozhidar Dimitrov,Male,BUL,Bulgaria,BUL,Bulgaria,Men's 73kg,1997-01-17
Gold Medal,LUO Shifang,Female,CHN,China,CHN,China,Women's 59kg,2001-04-02
Silver Medal,CHARRON Maude,Female,CAN,Canada,CAN,Canada,Women's 59kg,1993-04-28
Bronze Medal,KUO Hsing-Chun,Female,TPE,Chinese Taipei,TPE,Chinese Taipei,Women's 59kg,1993-11-26
Gold Medal,ESMAEILI LEIVESI Saeid,Male,IRI,IR Iran,IRI,IR Iran,Men's Greco-Roman 67kg,2003-07-15
Silver Medal,NASIBOV Parviz,Male,UKR,Ukraine,UKR,Ukraine,Men's Greco-Roman 67kg,1998-08-18
Bronze Medal,JAFAROV Hasrat,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men's Greco-Roman 67kg,2002-10-05
Bronze Medal,ORTA SANCHEZ Luis Alberto,Male,CUB,Cuba,CUB,Cuba,Men's Greco-Roman 67kg,1994-08-22
Gold Medal,NOVIKOV Semen Sergeevich,Male,BUL,Bulgaria,BUL,Bulgaria,Men's Greco-Roman 87kg,1997-12-11
Silver Medal,MOHMADIPIANI Alireza,Male,IRI,IR Iran,IRI,IR Iran,Men's Greco-Roman 87kg,2002-10-30
Bronze Medal,BELENIUK Zhan,Male,UKR,Ukraine,UKR,Ukraine,Men's Greco-Roman 87kg,1991-01-24
Bronze Medal,BISULTANOV Turpal Ali,Male,DEN,Denmark,DEN,Denmark,Men's Greco-Roman 87kg,2001-10-14
Gold Medal,FUJINAMI Akari,Female,JPN,Japan,JPN,Japan,Women's Freestyle 53kg,2003-11-11
Silver Medal,YEPEZ GUZMAN Lucia Yamileth,Female,ECU,Ecuador,ECU,Ecuador,Women's Freestyle 53kg,2001-02-18
Bronze Medal,CHOE Hyo Gyong,Female,PRK,DPR Korea,PRK,DPR Korea,Women's Freestyle 53kg,2000-05-10
Bronze Medal,PANG Qianyu,Female,CHN,China,CHN,China,Women's Freestyle 53kg,1996-11-13
Gold Medal,BENJAMIN Rai,Male,USA,United States,USA,United States,Men's 400m Hurdles,1997-07-27
Silver Medal,WARHOLM Karsten,Male,NOR,Norway,NOR,Norway,Men's 400m Hurdles,1996-02-28
Bronze Medal,dos SANTOS Alison,Male,BRA,Brazil,BRA,Brazil,Men's 400m Hurdles,2000-06-03
Gold Medal,DIAZ FORTUN Jordan Alejandro,Male,ESP,Spain,ESP,Spain,Men's Triple Jump,2001-02-23
Silver Medal,PICHARDO Pedro,Male,POR,Portugal,POR,Portugal,Men's Triple Jump,1993-06-30
Bronze Medal,DIAZ HERNANDEZ Andy,Male,ITA,Italy,ITA,Italy,Men's Triple Jump,1995-12-25
Gold Medal,CHEBET Beatrice,Female,KEN,Kenya,KEN,Kenya,"Women's 10,000m",2000-03-05
Silver Medal,BATTOCLETTI Nadia,Female,ITA,Italy,ITA,Italy,"Women's 10,000m",2000-04-12
Bronze Medal,HASSAN Sifan,Female,NED,Netherlands,NED,Netherlands,"Women's 10,000m",1993-01-01
Gold Medal,PAULINO Marileidy,Female,DOM,Dominican Republic,DOM,Dominican Republic,Women's 400m,1996-10-25
Silver Medal,NASER Salwa Eid,Female,BRN,Bahrain,BRN,Bahrain,Women's 400m,1998-05-23
Bronze Medal,KACZMAREK Natalia,Female,POL,Poland,POL,Poland,Women's 400m,1998-01-17
Gold Medal,OGUNLEYE Yemisi,Female,GER,Germany,GER,Germany,Women's Shot Put,1998-10-03
Silver Medal,WESCHE Maddison-Lee,Female,NZL,New Zealand,NZL,New Zealand,Women's Shot Put,1999-06-13
Bronze Medal,SONG Jiayuan,Female,CHN,China,CHN,China,Women's Shot Put,1997-09-15
Gold Medal,MUYDINKHUJAEV Asadkhuja,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's 71kg,2001-05-08
Silver Medal,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,MEX,Mexico,Men's 71kg,2002-02-11
Gold Medal,MULLOJONOV Lazizbek,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's 92kg,1999-05-13
Silver Medal,ALFONSO DOMINGUEZ Loren Berto,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men's 92kg,1995-07-28
Gold Medal,WU Yu,Female,CHN,China,CHN,China,Women's 50kg,1995-01-13
Silver Medal,CAKIROGLU Buse Naz,Female,TUR,Türkiye,TUR,Türkiye,Women's 50kg,1996-05-26
Gold Medal,KHELIF Imane,Female,ALG,Algeria,ALG,Algeria,Women's 66kg,1999-05-02
Silver Medal,YANG Liu,Female,CHN,China,CHN,China,Women's 66kg,1992-05-20
Gold Medal,AMI,Female,JPN,Japan,JPN,Japan,B-Girls,1998-12-11
Silver Medal,NICKA,Female,LTU,Lithuania,LTU,Lithuania,B-Girls,2007-06-08
Bronze Medal,671,Female,CHN,China,CHN,China,B-Girls,2005-10-19
Gold Medal,FUKSA Martin,Male,CZE,Czechia,CZE,Czechia,Men's Canoe Single 1000m,1993-04-30
Silver Medal,QUEIROZ Isaquias,Male,BRA,Brazil,BRA,Brazil,Men's Canoe Single 1000m,1994-01-03
Bronze Medal,TARNOVSCHI Serghei,Male,MDA,Republic of Moldova,MDA,Republic of Moldova,Men's Canoe Single 1000m,1997-06-24
Gold Medal,LAVREYSEN Harrie,Male,NED,Netherlands,NED,Netherlands,Men's Sprint,1997-03-14
Silver Medal,RICHARDSON Matthew,Male,AUS,Australia,AUS,Australia,Men's Sprint,1999-04-17
Bronze Medal,CARLIN Jack,Male,GBR,Great Britain,GBR,Great Britain,Men's Sprint,1997-04-23
Gold Medal,CHEN Yiwen,Female,CHN,China,CHN,China,Women's 3m Springboard,1999-06-15
Silver Medal,KEENEY Maddison,Female,AUS,Australia,AUS,Australia,Women's 3m Springboard,1996-05-23
Bronze Medal,CHANG Yani,Female,CHN,China,CHN,China,Women's 3m Springboard,2001-12-07
Gold Medal,RASOVSZKY Kristof,Male,HUN,Hungary,HUN,Hungary,Men's 10km,1997-03-27
Silver Medal,KLEMET Oliver,Male,GER,Germany,GER,Germany,Men's 10km,2002-03-18
Bronze Medal,BETLEHEM David,Male,HUN,Hungary,HUN,Hungary,Men's 10km,2003-09-04
Gold Medal,BONTUS Valentin,Male,AUT,Austria,AUT,Austria,Men's Kite,2001-02-01
Silver Medal,VODISEK Toni,Male,SLO,Slovenia,SLO,Slovenia,Men's Kite,2000-06-07
Bronze Medal,MAEDER Maximilian,Male,SGP,Singapore,SGP,Singapore,Men's Kite,2006-09-12
Gold Medal,ROBERTS Toby,Male,GBR,Great Britain,GBR,Great Britain,Men's Boulder & Lead,2005-03-15
Silver Medal,ANRAKU Sorato,Male,JPN,Japan,JPN,Japan,Men's Boulder & Lead,2006-11-14
Bronze Medal,SCHUBERT Jakob,Male,AUT,Austria,AUT,Austria,Men's Boulder & Lead,1990-12-31
Gold Medal,KATOUSSI Firas,Male,TUN,Tunisia,TUN,Tunisia,Men -80kg,1995-09-06
Silver Medal,BARKHORDARI Mehran,Male,IRI,IR Iran,IRI,IR Iran,Men -80kg,2000-07-26
Bronze Medal,ALESSIO Simone,Male,ITA,Italy,ITA,Italy,Men -80kg,2000-04-14
Bronze Medal,HRNIC Edi,Male,DEN,Denmark,DEN,Denmark,Men -80kg,2003-12-26
Gold Medal,MARTON Viviana,Female,HUN,Hungary,HUN,Hungary,Women -67kg,2006-02-16
Silver Medal,PERISIC Aleksandra,Female,SRB,Serbia,SRB,Serbia,Women -67kg,2002-07-02
Bronze Medal,TEACHOUT Kristina,Female,USA,United States,USA,United States,Women -67kg,2005-09-13
Bronze Medal,CHAARI Sarah,Female,BEL,Belgium,BEL,Belgium,Women -67kg,2005-05-02
Gold Medal,NASAR Karlos May,Male,BUL,Bulgaria,BUL,Bulgaria,Men's 89kg,2004-05-12
Silver Medal,LOPEZ Yeison,Male,COL,Colombia,COL,Colombia,Men's 89kg,1999-09-01
Bronze Medal,PIZZOLATO Antonino,Male,ITA,Italy,ITA,Italy,Men's 89kg,1996-08-20
Gold Medal,REEVES Olivia,Female,USA,United States,USA,United States,Women's 71kg,2003-04-19
Silver Medal,SANCHEZ Mari Leivis,Female,COL,Colombia,COL,Colombia,Women's 71kg,1991-10-08
Bronze Medal,PALACIOS DAJOMES Angie Paola,Female,ECU,Ecuador,ECU,Ecuador,Women's 71kg,2000-09-12
Gold Medal,HIGUCHI Rei,Male,JPN,Japan,JPN,Japan,Men's Freestyle 57kg,1996-01-28
Silver Medal,LEE Spencer Richard,Male,USA,United States,USA,United States,Men's Freestyle 57kg,1998-10-14
Bronze Medal,AMAN Aman,Male,IND,India,IND,India,Men's Freestyle 57kg,2003-07-16
Bronze Medal,ABDULLAEV Gulomjon,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's Freestyle 57kg,1998-11-11
Gold Medal,RAMAZANOV Magomed Eldarovitch,Male,BUL,Bulgaria,BUL,Bulgaria,Men's Freestyle 86kg,1993-05-22
Silver Medal,YAZDANICHARATI Hassan,Male,IRI,IR Iran,IRI,IR Iran,Men's Freestyle 86kg,1994-12-26
Bronze Medal,BROOKS Aaron Marquel,Male,USA,United States,USA,United States,Men's Freestyle 86kg,2000-06-15
Bronze Medal,KURUGLIEV Dauren,Male,GRE,Greece,GRE,Greece,Men's Freestyle 86kg,1992-07-12
Gold Medal,SAKURAI Tsugumi,Female,JPN,Japan,JPN,Japan,Women's Freestyle 57kg,2001-09-03
Silver Medal,NICHITA Anastasia,Female,MDA,Republic of Moldova,MDA,Republic of Moldova,Women's Freestyle 57kg,1999-02-19
Bronze Medal,MAROULIS Helen Louise,Female,USA,United States,USA,United States,Women's Freestyle 57kg,1991-09-19
Bronze Medal,HONG Kexin,Female,CHN,China,CHN,China,Women's Freestyle 57kg,2003-01-06
Gold Medal,INGEBRIGTSEN Jakob,Male,NOR,Norway,NOR,Norway,Men's 5000m,2000-09-19
Silver Medal,KWEMOI Ronald,Male,KEN,Kenya,KEN,Kenya,Men's 5000m,1995-09-19
Bronze Medal,FISHER Grant,Male,USA,United States,USA,United States,Men's 5000m,1997-04-22
Gold Medal,WANYONYI Emmanuel,Male,KEN,Kenya,KEN,Kenya,Men's 800m,2004-08-01
Silver Medal,AROP Marco,Male,CAN,Canada,CAN,Canada,Men's 800m,1998-09-20
Bronze Medal,SEDJATI Djamel,Male,ALG,Algeria,ALG,Algeria,Men's 800m,1999-05-03
Gold Medal,KERR Hamish,Male,NZL,New Zealand,NZL,New Zealand,Men's High Jump,1996-08-17
Silver Medal,McEWEN Shelby,Male,USA,United States,USA,United States,Men's High Jump,1996-04-06
Bronze Medal,BARSHIM Mutaz Essa,Male,QAT,Qatar,QAT,Qatar,Men's High Jump,1991-06-24
Gold Medal,TOLA Tamirat,Male,ETH,Ethiopia,ETH,Ethiopia,Men's Marathon,1991-08-11
Silver Medal,ABDI Bashir,Male,BEL,Belgium,BEL,Belgium,Men's Marathon,1989-02-10
Bronze Medal,KIPRUTO Benson,Male,KEN,Kenya,KEN,Kenya,Men's Marathon,1991-03-17
Gold Medal,RUSSELL Masai,Female,USA,United States,USA,United States,Women's 100m Hurdles,2000-06-17
Silver Medal,SAMBA-MAYELA Cyrena,Female,FRA,France,FRA,France,Women's 100m Hurdles,2000-10-31
Bronze Medal,CAMACHO-QUINN Jasmine,Female,PUR,Puerto Rico,USA,United States,Women's 100m Hurdles,1996-08-21
Gold Medal,KIPYEGON Faith,Female,KEN,Kenya,KEN,Kenya,Women's 1500m,1994-01-10
Silver Medal,HULL Jessica,Female,AUS,Australia,AUS,Australia,Women's 1500m,1996-10-22
Bronze Medal,BELL Georgia,Female,GBR,Great Britain,GBR,Great Britain,Women's 1500m,1993-10-17
Gold Medal,KITAGUCHI Haruka,Female,JPN,Japan,JPN,Japan,Women's Javelin Throw,1998-03-16
Silver Medal,van DYK Jo-Ane,Female,RSA,South Africa,RSA,South Africa,Women's Javelin Throw,1997-10-03
Bronze Medal,OGRODNIKOVA Nikola,Female,CZE,Czechia,CZE,Czechia,Women's Javelin Throw,1990-08-18
Gold Medal,JALOLOV Bakhodir,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's +92kg,1994-07-08
Silver Medal,GHADFA DRISSI EL AISSAOUI Ayoub,Male,ESP,Spain,ESP,Spain,Men's +92kg,1998-12-06
Gold Medal,KHALOKOV Abdumalik,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's 57kg,2000-04-09
Silver Medal,SEIITBEK UULU Munarbek,Male,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Men's 57kg,1996-01-01
Gold Medal,LIN Yu Ting,Female,TPE,Chinese Taipei,TPE,Chinese Taipei,Women's 57kg,1995-12-13
Silver Medal,SZEREMETA Julia,Female,POL,Poland,POL,Poland,Women's 57kg,2003-08-24
Gold Medal,LI Qian,Female,CHN,China,CHN,China,Women's 75kg,1990-06-06
Silver Medal,BYLON Atheyna Bibeichi,Female,PAN,Panama,PAN,Panama,Women's 75kg,1989-04-06
Gold Medal,PHIL WIZARD,Male,CAN,Canada,CAN,Canada,B-Boys,1997-01-25
Silver Medal,DANY DANN,Male,FRA,France,FRA,France,B-Boys,1988-05-03
Bronze Medal,VICTOR,Male,USA,United States,USA,United States,B-Boys,1994-05-01
Gold Medal,DOSTAL Josef,Male,CZE,Czechia,CZE,Czechia,Men's Kayak Single 1000m,1993-03-03
Silver Medal,VARGA Adam,Male,HUN,Hungary,HUN,Hungary,Men's Kayak Single 1000m,1999-11-20
Bronze Medal,KOPASZ Balint,Male,HUN,Hungary,HUN,Hungary,Men's Kayak Single 1000m,1997-06-20
Gold Medal,VINCENT Katie,Female,CAN,Canada,CAN,Canada,Women's Canoe Single 200m,1996-03-12
Silver Medal,HARRISON Nevin,Female,USA,United States,USA,United States,Women's Canoe Single 200m,2002-06-02
Bronze Medal,CIRILO DUBOYS Yarisleidis,Female,CUB,Cuba,CUB,Cuba,Women's Canoe Single 200m,2002-05-10
Gold Medal,CARRINGTON Lisa,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Single 500m,1989-06-23
Silver Medal,CSIPES Tamara,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Single 500m,1989-08-24
Bronze Medal,JORGENSEN Emma Aastrand,Female,DEN,Denmark,DEN,Denmark,Women's Kayak Single 500m,1996-01-30
Gold Medal,CAO Yuan,Male,CHN,China,CHN,China,Men's 10m Platform,1995-02-07
Silver Medal,TAMAI Rikuto,Male,JPN,Japan,JPN,Japan,Men's 10m Platform,2006-09-11
Bronze Medal,WILLIAMS Noah,Male,GBR,Great Britain,GBR,Great Britain,Men's 10m Platform,2000-05-15
Gold Medal,KO Lydia,Female,NZL,New Zealand,NZL,New Zealand,Women's Individual Stroke Play,1997-04-24
Silver Medal,HENSELEIT Esther,Female,GER,Germany,GER,Germany,Women's Individual Stroke Play,1999-01-14
Bronze Medal,LIN Xiyu Janet,Female,CHN,China,CHN,China,Women's Individual Stroke Play,1996-02-25
Gold Medal,ELGENDY Ahmed,Male,EGY,Egypt,EGY,Egypt,Men's Individual,2000-03-01
Silver Medal,SATO Taishu,Male,JPN,Japan,JPN,Japan,Men's Individual,1993-10-20
Bronze Medal,MALAN Giorgio,Male,ITA,Italy,ITA,Italy,Men's Individual,2000-01-27
Gold Medal,GARNBRET Janja,Female,SLO,Slovenia,SLO,Slovenia,Women's Boulder & Lead,1999-03-12
Silver Medal,RABOUTOU Brooke,Female,USA,United States,USA,United States,Women's Boulder & Lead,2001-04-09
Bronze Medal,PILZ Jessica,Female,AUT,Austria,AUT,Austria,Women's Boulder & Lead,1996-11-22
Gold Medal,SALIMI Arian,Male,IRI,IR Iran,IRI,IR Iran,Men +80kg,2003-12-16
Silver Medal,CUNNINGHAM Caden,Male,GBR,Great Britain,GBR,Great Britain,Men +80kg,2003-05-07
Bronze Medal,ALBA Rafael,Male,CUB,Cuba,CUB,Cuba,Men +80kg,1993-08-12
Bronze Medal,CISSE Cheick Sallah,Male,CIV,Côte d'Ivoire,CIV,Côte d'Ivoire,Men +80kg,1993-09-19
Gold Medal,LAURIN Althea,Female,FRA,France,FRA,France,Women +67kg,2001-09-01
Silver Medal,OSIPOVA Svetlana,Female,UZB,Uzbekistan,UZB,Uzbekistan,Women +67kg,2000-05-03
Bronze Medal,LEE Dabin,Female,KOR,Korea,KOR,Korea,Women +67kg,1996-12-07
Bronze Medal,KUS AYDIN Nafia,Female,TUR,Türkiye,TUR,Türkiye,Women +67kg,1995-02-20
Gold Medal,TALAKHADZE Lasha,Male,GEO,Georgia,GEO,Georgia,Men's +102kg,1993-10-02
Silver Medal,LALAYAN Varazdat,Male,ARM,Armenia,ARM,Armenia,Men's +102kg,1999-05-01
Bronze Medal,MINASYAN Gor,Male,BRN,Bahrain,BRN,Bahrain,Men's +102kg,1994-10-25
Gold Medal,LIU Huanhua,Male,CHN,China,CHN,China,Men's 102kg,2001-08-20
Silver Medal,DJURAEV Akbar,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's 102kg,1999-10-08
Bronze Medal,TSIKHANTSOU Yauheni,Male,AIN,AIN,BLR,Belarus,Men's 102kg,1998-11-04
Gold Medal,KOANDA Solfrid Eila Amena,Female,NOR,Norway,NOR,Norway,Women's 81kg,1998-11-13
Silver Medal,AHMED Sara,Female,EGY,Egypt,EGY,Egypt,Women's 81kg,1998-01-01
Bronze Medal,DAJOMES BARRERA Neisi Patricia,Female,ECU,Ecuador,ECU,Ecuador,Women's 81kg,1998-05-12
Gold Medal,PETRIASHVILI Geno,Male,GEO,Georgia,GEO,Georgia,Men's Freestyle 125kg,1994-04-01
Silver Medal,ZARE Amir Hossein,Male,IRI,IR Iran,IRI,IR Iran,Men's Freestyle 125kg,2001-01-16
Bronze Medal,AKGUL Taha,Male,TUR,Türkiye,TUR,Türkiye,Men's Freestyle 125kg,1990-11-22
Bronze Medal,MESHVILDISHVILI Giorgi,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men's Freestyle 125kg,1992-05-13
Gold Medal,JAMALOV Razambek Salambekovitch,Male,UZB,Uzbekistan,UZB,Uzbekistan,Men's Freestyle 74kg,1998-06-01
Silver Medal,TAKATANI Daichi,Male,JPN,Japan,JPN,Japan,Men's Freestyle 74kg,1994-11-22
Bronze Medal,DAKE Kyle Douglas,Male,USA,United States,USA,United States,Men's Freestyle 74kg,1991-02-25
Bronze Medal,VALIEV Chermen,Male,ALB,Albania,ALB,Albania,Men's Freestyle 74kg,1998-12-10
Gold Medal,MOTOKI Sakura,Female,JPN,Japan,JPN,Japan,Women's Freestyle 62kg,2002-02-20
Silver Medal,KOLIADENKO Iryna,Female,UKR,Ukraine,UKR,Ukraine,Women's Freestyle 62kg,1998-08-28
Bronze Medal,TYNYBEKOVA Aisuluu,Female,KGZ,Kyrgyzstan,KGZ,Kyrgyzstan,Women's Freestyle 62kg,1993-05-04
Bronze Medal,BULLEN Grace Jacob,Female,NOR,Norway,NOR,Norway,Women's Freestyle 62kg,1997-02-07
Gold Medal,HASSAN Sifan,Female,NED,Netherlands,NED,Netherlands,Women's Marathon,1993-01-01
Silver Medal,ASSEFA Tigst,Female,ETH,Ethiopia,ETH,Ethiopia,Women's Marathon,1996-12-03
Bronze Medal,OBIRI Hellen,Female,KEN,Kenya,KEN,Kenya,Women's Marathon,1989-12-13
Gold Medal,LAVREYSEN Harrie,Male,NED,Netherlands,NED,Netherlands,Men's Keirin,1997-03-14
Silver Medal,RICHARDSON Matthew,Male,AUS,Australia,AUS,Australia,Men's Keirin,1999-04-17
Bronze Medal,GLAETZER Matthew,Male,AUS,Australia,AUS,Australia,Men's Keirin,1992-08-24
Gold Medal,VALENTE Jennifer,Female,USA,United States,USA,United States,Women's Omnium,1994-12-24
Silver Medal,PIKULIK Daria,Female,POL,Poland,POL,Poland,Women's Omnium,1997-01-06
Bronze Medal,WOLLASTON Ally,Female,NZL,New Zealand,NZL,New Zealand,Women's Omnium,2001-01-04
Gold Medal,ANDREWS Ellesse,Female,NZL,New Zealand,NZL,New Zealand,Women's Sprint,1999-12-31
Silver Medal,FRIEDRICH Lea,Female,GER,Germany,GER,Germany,Women's Sprint,2000-01-07
Bronze Medal,FINUCANE Emma,Female,GBR,Great Britain,GBR,Great Britain,Women's Sprint,2002-12-22
Gold Medal,GULYAS Michelle,Female,HUN,Hungary,HUN,Hungary,Women's Individual,2000-10-24
Silver Medal,CLOUVEL Elodie,Female,FRA,France,FRA,France,Women's Individual,1989-01-14
Bronze Medal,SEONG Seungmin,Female,KOR,Korea,KOR,Korea,Women's Individual,2003-05-13
Gold Medal,LI Wenwen,Female,CHN,China,CHN,China,Women's +81kg,2000-03-05
Silver Medal,PARK Hyejeong,Female,KOR,Korea,KOR,Korea,Women's +81kg,2003-03-12
Bronze Medal,CAMPBELL Emily,Female,GBR,Great Britain,GBR,Great Britain,Women's +81kg,1994-05-06
Gold Medal,KIYOOKA Kotaro,Male,JPN,Japan,JPN,Japan,Men's Freestyle 65kg,2001-04-12
Silver Medal,AMOUZADKHALILI Rahman,Male,IRI,IR Iran,IRI,IR Iran,Men's Freestyle 65kg,2002-07-17
Bronze Medal,RIVERA Sebastian C,Male,PUR,Puerto Rico,USA,United States,Men's Freestyle 65kg,1998-08-27
Bronze Medal,DUDAEV Islam,Male,ALB,Albania,ALB,Albania,Men's Freestyle 65kg,1995-01-15
Gold Medal,TAZHUDINOV Akhmed,Male,BRN,Bahrain,BRN,Bahrain,Men's Freestyle 97kg,2003-01-25
Silver Medal,MATCHARASHVILI Givi,Male,GEO,Georgia,GEO,Georgia,Men's Freestyle 97kg,1997-05-17
Bronze Medal,MAGOMEDOV Magomedkhan,Male,AZE,Azerbaijan,AZE,Azerbaijan,Men's Freestyle 97kg,1998-01-27
Bronze Medal,AZARPIRA Amirali,Male,IRI,IR Iran,IRI,IR Iran,Men's Freestyle 97kg,2002-03-26
Gold Medal,KAGAMI Yuka,Female,JPN,Japan,JPN,Japan,Women's Freestyle 76kg,2001-09-14
Silver Medal,BLADES Kennedy Alexis,Female,USA,United States,USA,United States,Women's Freestyle 76kg,2003-09-04
Bronze Medal,MARIN POTRILLE Milaimy de la Carid,Female,CUB,Cuba,CUB,Cuba,Women's Freestyle 76kg,2001-03-16
Bronze Medal,RENTERIA RENTERIA Tatiana,Female,COL,Colombia,COL,Colombia,Women's Freestyle 76kg,2000-12-22
Gold Medal,VARFOLOMEEV Darja,Female,GER,Germany,GER,Germany,Individual All-Around,2006-11-04
Silver Medal,KALEYN Boryana,Female,BUL,Bulgaria,BUL,Bulgaria,Individual All-Around,2000-08-23
Bronze Medal,RAFFAELI Sofia,Female,ITA,Italy,ITA,Italy,Individual All-Around,2004-01-19
Gold Medal,THIAM Nafissatou,Female,BEL,Belgium,BEL,Belgium,Women's Heptathlon,1994-08-19
Silver Medal,JOHNSON-THOMPSON Katarina,Female,GBR,Great Britain,GBR,Great Britain,Women's Heptathlon,1993-01-09
Bronze Medal,VIDTS Noor,Female,BEL,Belgium,BEL,Belgium,Women's Heptathlon,1996-05-30
Gold Medal,CHANG Yani,Female,CHN,China,CHN,China,Women's Synchronised 3m Springboard,2001-12-07
Gold Medal,CHEN Yiwen,Female,CHN,China,CHN,China,Women's Synchronised 3m Springboard,1999-06-15
Silver Medal,BACON Sarah,Female,USA,United States,USA,United States,Women's Synchronised 3m Springboard,1996-09-20
Silver Medal,COOK Kassidy,Female,USA,United States,USA,United States,Women's Synchronised 3m Springboard,1995-05-09
Bronze Medal,HARPER Yasmin,Female,GBR,Great Britain,GBR,Great Britain,Women's Synchronised 3m Springboard,2000-07-28
Bronze Medal,MEW JENSEN Scarlett,Female,GBR,Great Britain,GBR,Great Britain,Women's Synchronised 3m Springboard,2001-12-31
Gold Medal,PASQUET Varian,Male,FRA,France,FRA,France,Men,1999-07-29
Gold Medal,TIMO Andy,Male,FRA,France,FRA,France,Men,2004-05-28
Gold Medal,REBBADJ Rayan,Male,FRA,France,FRA,France,Men,1999-08-15
Gold Medal,FORNER Theo,Male,FRA,France,FRA,France,Men,2001-10-17
Gold Medal,PAREZ EDO MARTIN Stephen,Male,FRA,France,FRA,France,Men,1994-08-01
Gold Medal,RIVA Paulin,Male,FRA,France,FRA,France,Men,1994-04-20
Gold Medal,JOSEPH Jefferson-Lee,Male,FRA,France,FRA,France,Men,2002-08-29
Gold Medal,ZEGHDAR Antoine,Male,FRA,France,FRA,France,Men,1999-05-22
Gold Medal,GRANDIDIER NKANANG Aaron,Male,FRA,France,FRA,France,Men,2000-05-18
Gold Medal,BARRAQUE Jean Pascal,Male,FRA,France,FRA,France,Men,1991-04-24
Gold Medal,DUPONT Antoine,Male,FRA,France,FRA,France,Men,1996-11-15
Gold Medal,SEPHO Jordan,Male,FRA,France,FRA,France,Men,1998-12-08
Gold Medal,EPEE Nelson,Male,FRA,France,FRA,France,Men,2001-02-20
